epoch,train_loss,val_loss,train_acc,val_acc
1,0.9398754572027443,0.9518248145393118,0.25669062236516227,0.28472626564113546
2,1.3278840787002597,1.348637760659188,0.4179463124323538,0.44541214889437575
3,1.142677241770333,1.2192407816013995,0.48303993201069007,0.4946014630957052
4,0.9968081629963914,1.1039292064200734,0.5464906692527688,0.5309584883569269
5,0.8548768445726902,1.0233242133743405,0.603423929981626,0.5716560882665797
6,0.7491331535080236,0.9284547104636853,0.6522977393168832,0.5903620291743589
7,0.6583739159729509,0.8526331491607488,0.6926181343719218,0.6084437390070568
8,0.5879821954667139,0.7774694733254126,0.7256735276309503,0.6229978430637197
9,0.5308409488458309,0.7171333453078187,0.7559987078188455,0.6473443098897678
10,0.47673520899988003,0.6578785700287495,0.7755389820755159,0.6703818455415115
11,0.42775756794023556,0.6104477416114477,0.8000180898022604,0.6848784025293629
12,0.37770744281573443,0.5781245006551523,0.8186781650573738,0.6889361151895877
13,0.3427911968942293,0.5610053721216577,0.8449113303717236,0.7034931193453678
14,0.31721636754778715,0.5288856274592396,0.8627076109863596,0.725361482562336
15,0.29253229586012297,0.4837088708558398,0.8813359499557543,0.7538801840656311
16,0.2723811512254669,0.4490094472975935,0.8890746674076411,0.7680775555814471
17,0.25492890844587346,0.42851211772366066,0.8980927544383138,0.7662809390491788
18,0.2466997494996524,0.4172801251786036,0.9007357096492733,0.7672929837427257
19,0.23626876064600555,0.3974537521434576,0.9039202041186796,0.7745339437718435
20,0.22254506834484616,0.3843240074935936,0.9042182955600463,0.7927770204026767
21,0.20283962897770694,0.38418739593439555,0.9083941522060657,0.8096024546138536
22,0.18573829876910736,0.3757416902500054,0.9187626323426985,0.8159568720014819
23,0.1794920816995258,0.3623975288451067,0.9315976785908713,0.8101643625613286
24,0.185914976689315,0.35229627962200194,0.9340591323469374,0.7944037133274571
25,0.19718470865251966,0.3409643757123011,0.9315305428573049,0.8001699915725436
26,0.19507009823517663,0.32897860640998144,0.9232191944873918,0.8120445496319758
27,0.18920002881751916,0.30990287959417095,0.9304943859690831,0.8266288633739697
28,0.16952703132276237,0.3031594261847286,0.9350328736256137,0.8234265896826769
29,0.15646788577857812,0.2961367162517482,0.9379378239551043,0.831237669515519
30,0.14864707520126116,0.29658759320126454,0.9325426199996145,0.8365617573740718
31,0.150909416730462,0.30574138247704585,0.9407344397972838,0.8378936122020055
32,0.15842979304605861,0.3057406989209467,0.9452319001982545,0.8251390190360851
33,0.16502540824950857,0.30195673672320944,0.9491783160603349,0.8175843723572683
34,0.1705202743887747,0.2978002159671454,0.944833353551165,0.8241120567963001
35,0.16122855377911766,0.3043353983132838,0.9439698003240076,0.8352293561053612
36,0.15577152681827972,0.2930887142514135,0.9411737051095874,0.8412
37,0.14745781114619008,0.27784852154617445,0.9405994602350853,0.8412
38,0.14769612551037295,0.28133896436607836,0.9438702799161578,0.8374204629265681
39,0.1497845238798041,0.29244400993751846,0.9422383126838649,0.8317867957485554
40,0.14075647402310995,0.2966977355437766,0.9428096289124756,0.8300063197195944
41,0.14563398001574876,0.29222064533732434,0.9410965731825994,0.8400927390145856
42,0.14810738577316243,0.2994163512178144,0.9492465636759064,0.8409217946879114
43,0.15676982051103897,0.29498512258049736,0.9585329165245624,0.8412
44,0.15290875223918143,0.3001679814167933,0.9561276388191957,0.8403078241056912
45,0.1464838728491887,0.27772221828592536,0.9555612183466311,0.837718946260215
46,0.15024957912040687,0.27624047557992,0.9495665550989276,0.8239091738215704
47,0.15514570018545115,0.2671043475610796,0.9486008544189011,0.8462
48,0.1585703896531434,0.2655808997918737,0.9517391410425806,0.8393645824154922
49,0.14738610483234266,0.27452682064264144,0.9505111219614888,0.8412
50,0.0944693719267662,0.1774182491266036,0.6384258701456247,0.5679178315588593
